Date,Open,High,Low,Close,Adj Close,Volume
2002-08-26,76.864243,77.332695,74.378586,75.927345,43.389652,7319699
2002-08-27,76.864243,76.902489,73.900574,74.531548,42.592007,7413839
2002-08-28,72.657745,73.623329,72.342255,72.715103,41.553970,6893454
2002-08-29,72.275337,73.948372,71.845123,73.250481,41.859917,6126840
2002-08-30,72.227531,72.992355,71.797325,72.065010,41.182468,5232615
2002-09-03,70.936905,71.701721,69.120461,69.168259,39.527081,7164472
2002-09-04,69.168259,70.736137,68.451241,70.487572,40.281036,6552772
2002-09-05,69.541107,69.646271,68.355644,69.005737,39.434204,6765214
2002-09-06,70.506691,70.736137,69.856598,69.980881,39.991489,4797479
2002-09-09,69.263863,71.682602,68.690247,71.223709,40.701706,6051110
2002-09-10,71.319313,72.275337,70.602295,72.275337,41.302647,5793062
2002-09-11,73.040154,74.091782,70.803062,70.936905,40.537811,5642542
2002-09-12,70.793503,70.793503,68.489487,68.709366,39.264858,7015940
2002-09-13,68.355644,69.674950,68.173996,69.311661,39.609035,6223282
2002-09-16,68.833649,69.521988,68.097511,69.139580,39.510704,4806579
2002-09-17,69.789673,70.219887,68.212234,68.594643,39.199287,6480075
2002-09-18,67.543022,67.782028,65.831741,66.491394,37.997360,13297484
2002-09-19,61.950287,63.556404,61.806885,61.950287,35.402290,23048505
2002-09-20,62.523903,62.523903,61.089867,61.108986,34.921509,14848179
2002-09-23,60.946465,60.946465,59.627151,60.583176,34.621033,8762447
2002-09-24,58.393883,60.516251,56.931168,57.122372,32.643318,17478765
2002-09-25,58.508602,60.965584,58.307838,60.239006,34.424335,13722683
2002-09-26,61.376675,62.026768,58.632889,59.292542,33.883480,12937765
2002-09-27,58.728489,60.697899,57.657745,57.705544,32.976578,9197583
2002-09-30,56.931168,57.256214,55.439770,55.745697,31.856592,13619025
2002-10-01,56.596558,59.254303,56.395794,58.479923,33.419090,12178369
2002-10-02,58.489483,59.273422,55.783939,57.007648,32.577747,11143352
2002-10-03,57.648186,58.470364,56.357552,57.361378,32.779888,11507151
2002-10-04,56.883366,56.892925,53.317402,54.110901,30.922365,15221287
2002-10-07,54.110901,55.927341,54.110901,54.359467,31.064425,10085114
2002-10-08,55.239006,55.535374,52.390057,54.541107,31.168230,15422747
2002-10-09,53.585087,54.206501,52.399616,52.648186,30.086470,12715176
2002-10-10,52.246655,55.908222,51.634800,55.047802,31.457771,13253448
2002-10-11,59.273422,61.108986,58.795410,61.108986,34.921509,18675075
2002-10-14,58.833652,60.994263,58.833652,60.630974,34.648354,8289864
2002-10-15,64.770554,65.468452,63.652008,65.468452,37.412777,15271809
2002-10-16,63.671127,64.053535,61.414913,62.045891,35.456924,16631609
2002-10-17,69.598473,69.789673,68.097511,69.024857,39.445133,22326452
2002-10-18,68.575523,70.984703,67.170174,70.984703,40.565113,13057113
2002-10-21,70.411087,72.562141,69.732315,72.227531,41.275360,11375982
2002-10-22,71.223709,72.351814,70.382408,71.214149,40.696236,10848589
2002-10-23,71.128105,71.673042,69.273422,71.319313,40.756344,13014227
2002-10-24,72.179733,72.227531,68.594643,68.929253,39.390495,11008104
2002-10-25,69.311661,71.338432,68.986618,71.281075,40.734493,7859853
2002-10-28,71.845123,74.091782,71.281075,73.193115,41.827148,13121965
2002-10-29,73.193115,73.661568,70.936905,73.365204,41.925461,11982139
2002-10-30,73.613770,75.908218,72.676865,75.210327,42.979908,13457627
2002-10-31,75.210327,76.281075,75.047798,75.468452,43.127422,10318058
2002-11-01,75.430206,76.959846,74.875717,76.864243,43.925045,9827379
2002-11-04,78.384323,80.124283,78.107079,78.871895,45.072338,12558276
2002-11-05,78.154877,78.403442,76.931168,78.087952,44.624359,10948168
2002-11-06,77.246651,78.279160,76.529640,77.954109,44.629829,10962917
2002-11-07,76.481834,76.481834,74.875717,75.478012,43.212212,11544493
2002-11-08,75.047798,75.803062,73.804970,74.177818,42.467873,8493102
2002-11-11,74.177818,74.913956,73.326958,73.891014,42.303661,7726174
2002-11-12,74.091782,76.386230,73.900574,75.669212,43.321701,9442974
2002-11-13,76.003822,76.797325,74.550667,75.860420,43.431149,12535996
2002-11-14,76.845123,77.428299,75.908218,77.170174,44.181034,10107289
2002-11-15,76.845123,76.864243,75.535370,76.491394,43.792404,11890719
2002-11-18,77.246651,77.428299,75.602295,75.697899,43.338139,7658080
2002-11-19,74.799232,75.956024,74.416824,74.923515,42.894775,7236646
2002-11-20,74.521988,78.116638,74.474190,78.021034,44.668144,9488161
2002-11-21,78.441681,81.185471,78.441681,81.166351,46.468872,13323111
2002-11-22,80.258125,81.424477,80.114723,80.717018,46.211639,9469752
2002-11-25,80.908218,82.456978,79.847038,82.409180,47.180416,9049155
2002-11-26,82.361374,82.361374,80.678780,81.319313,46.556446,8954597
2002-11-27,82.122368,84.235184,82.074570,83.843208,48.001427,8587451
2002-11-29,83.852776,84.177818,82.944550,83.097511,47.574509,3117812
2002-12-02,84.703636,85.525810,82.504784,83.460800,47.782475,10140133
2002-12-03,82.906311,83.202675,81.405357,81.462715,46.638550,7351079
2002-12-04,79.741875,81.128105,79.177818,80.009560,45.806591,10515961
2002-12-05,81.166351,81.242828,78.967499,79.407265,45.461781,7217400
2002-12-06,77.915871,79.110901,77.504784,78.699806,45.056770,7944161
2002-12-09,77.437859,77.753349,76.003822,76.089867,43.562519,9248627
2002-12-10,75.143402,77.437859,75.143402,77.246651,44.224789,7185811
